"cod_ibge","tipo","sexo","n"
211125,"80 a 84 anos","Homem",29
211125,"75 a 79 anos","Homem",48
211125,"70 a 74 anos","Homem",65
211125,"65 a 69 anos","Homem",96
211125,"60 a 64 anos","Homem",114
211125,"55 a 59 anos","Homem",127
211125,"50 a 54 anos","Homem",144
211125,"45 a 49 anos","Homem",176
211125,"40 a 44 anos","Homem",178
211125,"35 a 39 anos","Homem",206
211125,"30 a 34 anos","Homem",247
211125,"25 a 29 anos","Homem",284
211125,"20 a 24 anos","Homem",341
211125,"15 a 19 anos","Homem",465
211125,"10 a 14 anos","Homem",474
211125,"5 a 9 anos","Homem",375
211125,"0 a 4 anos","Homem",367
211120,"Mais de 100 anos","Homem",15
211120,"95 a 99 anos","Homem",27
211120,"90 a 94 anos","Homem",56
211120,"85 a 89 anos","Homem",154
211120,"80 a 84 anos","Homem",282
211120,"75 a 79 anos","Homem",557
211120,"70 a 74 anos","Homem",826
211120,"65 a 69 anos","Homem",1179
211120,"60 a 64 anos","Homem",1464
211120,"55 a 59 anos","Homem",2093
211120,"50 a 54 anos","Homem",2966
211120,"45 a 49 anos","Homem",4002
211120,"40 a 44 anos","Homem",517
211120,"35 a 39 anos","Homem",5853
211120,"30 a 34 anos","Homem",6662
211120,"25 a 29 anos","Homem",7834
211120,"20 a 24 anos","Homem",866
211120,"15 a 19 anos","Homem",804
211120,"10 a 14 anos","Homem",8267
211120,"5 a 9 anos","Homem",7464
211120,"0 a 4 anos","Homem",7112
211110,"Mais de 100 anos","Homem",NA
211110,"95 a 99 anos","Homem",11
211110,"90 a 94 anos","Homem",19
211110,"85 a 89 anos","Homem",63
211110,"80 a 84 anos","Homem",128
211110,"75 a 79 anos","Homem",212
